tau,DetA,AssA,HOTA
0.05,0.6494842292927462,0.3578762519936638,0.482115112507668
0.1,0.641990471836187,0.3693557479071662,0.4869526371982488
0.15,0.6349620307271109,0.3725041115788952,0.4863393538901963
0.2,0.6272410257520135,0.37580762561783515,0.48551206017766396
0.25,0.6175072570412914,0.3755570918874563,0.481569548117224
0.3,0.6035802305480182,0.37553681298768693,0.4760951545252021
0.35,0.5782096682997827,0.3721559010578063,0.4638794456606597
0.4,0.5397290884939712,0.3600903286443191,0.4408528380930454
0.45,0.4842157661081969,0.3385405234900239,0.4048785730813523
0.5,0.41847630538820096,0.30689369398158767,0.3583681615383152
0.55,0.34376056768594393,0.2676925468452163,0.30335151535604316
0.6,0.26519785413414637,0.22783258329660394,0.2458062492942328
0.65,0.19344174482808996,0.1817200647235346,0.18748932340374472
0.7,0.134059803971962,0.1492234024584222,0.1414385381768536
0.75,0.09211640483604362,0.1339130345277233,0.11106568912755571
0.8,0.06577192465121563,0.1339050971969214,0.09384666197180175
0.85,0.04774362151384722,0.14564486959933748,0.08338832969657327
0.9,0.026642066221009033,0.1657231442626806,0.0664470238897136
0.95,0.0043122921970235985,0.054233357073027524,0.015292811465666186
